sku_name,substitute_sku,weight
jeans_female_brand_2_P_middle_sport,jeans_female_brand_4_P_high_sport,0.8708915883566355
jeans_female_brand_2_P_middle_sport,jeans_female_brand_4_P_middle_sport,0.8455878982351592
jeans_female_brand_2_P_middle_sport,jeans_female_brand_2_P_low_sport,0.8094659637863856
jeans_female_brand_2_P_middle_sport,jeans_female_brand_3_P_middle_sport,0.19053403621361456
jeans_female_brand_2_P_middle_sport,jeans_female_brand_3_P_high_sport,0.0
boots_male_brand_2_AW_high_casual,boots_male_brand_1_AW_high_casual,0.8551926845199217
boots_male_brand_2_AW_high_casual,boots_male_brand_4_AW_high_casual,0.7808621815806662
boots_male_brand_2_AW_high_casual,boots_male_brand_2_AW_middle_casual,0.5953625081645982
boots_male_brand_2_AW_high_casual,boots_male_brand_2_AW_low_casual,0.3346178967994775
boots_male_brand_2_AW_high_casual,boots_male_brand_1_AW_low_casual,0.23781841933376877
jacket_female_brand_3_P_middle_casual,jacket_female_brand_2_P_high_casual,0.8538979788257941
jacket_female_brand_3_P_middle_casual,jacket_female_brand_2_P_middle_casual,0.8298363811357073
jacket_female_brand_3_P_middle_casual,jacket_female_brand_1_P_middle_casual,0.695861405197305
jacket_female_brand_3_P_middle_casual,jacket_female_brand_1_P_high_casual,0.6948989412897016
jacket_female_brand_3_P_middle_casual,jacket_female_brand_3_P_low_casual,0.5277189605389797
shoes_female_brand_4_AW_low_casual,shoes_female_brand_2_AW_low_casual,0.7643610013175232
shoes_female_brand_4_AW_low_casual,shoes_female_brand_4_AW_middle_casual,0.46916996047430837
shoes_female_brand_4_AW_low_casual,shoes_female_brand_1_AW_high_casual,0.01725955204216076
shoes_female_brand_4_AW_low_casual,shoes_female_brand_3_AW_middle_casual,0.0
shoes_female_brand_4_AW_low_casual,shoes_female_brand_4_AW_high_casual,0.0
top_female_brand_1_P_middle_casual,top_female_brand_4_P_middle_casual,1.0
top_female_brand_1_P_middle_casual,top_female_brand_4_P_high_casual,0.8709583736689254
top_female_brand_1_P_middle_casual,top_female_brand_1_P_low_casual,0.750919651500484
top_female_brand_1_P_middle_casual,top_female_brand_2_P_middle_casual,0.7243949661181025
top_female_brand_1_P_middle_casual,top_female_brand_4_P_low_casual,0.4488867376573088
boots_male_brand_2_AW_low_casual,boots_male_brand_1_AW_low_casual,0.8772768259693416
boots_male_brand_2_AW_low_casual,boots_male_brand_4_AW_high_casual,0.33342350465885207
boots_male_brand_2_AW_low_casual,boots_male_brand_2_AW_middle_casual,0.3000601142170126
boots_male_brand_2_AW_low_casual,boots_male_brand_1_AW_high_casual,0.1623985572587918
boots_male_brand_2_AW_low_casual,boots_male_brand_2_AW_high_casual,0.0
t-shirt_male_brand_1_P_high_sport,t-shirt_male_brand_4_P_high_sport,0.8737752161383284
t-shirt_male_brand_1_P_high_sport,t-shirt_male_brand_3_P_low_sport,0.7559077809798271
t-shirt_male_brand_1_P_high_sport,t-shirt_male_brand_2_P_high_sport,0.7095100864553314
t-shirt_male_brand_1_P_high_sport,t-shirt_male_brand_2_P_middle_sport,0.63342939481268
t-shirt_male_brand_1_P_high_sport,t-shirt_male_brand_3_P_middle_sport,0.5851585014409223
boots_male_brand_1_SS_middle_sport,boots_male_brand_2_SS_middle_sport,1.0
boots_male_brand_1_SS_middle_sport,boots_male_brand_4_SS_middle_sport,0.8717694846407716
boots_male_brand_1_SS_middle_sport,boots_male_brand_2_SS_low_sport,0.8695354150799695
boots_male_brand_1_SS_middle_sport,boots_male_brand_3_SS_low_sport,0.8441482609799441
boots_male_brand_1_SS_middle_sport,boots_male_brand_1_SS_low_sport,0.7225437928408225
jeans_male_brand_4_P_low_casual,jeans_male_brand_1_P_low_casual,0.9550898203592814
jeans_male_brand_4_P_low_casual,jeans_male_brand_1_P_middle_casual,0.3880239520958083
jeans_male_brand_4_P_low_casual,jeans_male_brand_4_P_middle_casual,0.32574850299401203
jeans_male_brand_4_P_low_casual,jeans_male_brand_2_P_high_casual,0.0
jeans_male_brand_4_P_low_casual,jeans_male_brand_3_P_low_casual,0.0
jeans_male_brand_1_AW_low_casual,jeans_male_brand_2_AW_low_casual,1.0
jeans_male_brand_1_AW_low_casual,jeans_male_brand_4_AW_low_casual,0.9884785819793205
jeans_male_brand_1_AW_low_casual,jeans_male_brand_4_AW_middle_casual,0.7537666174298375
jeans_male_brand_1_AW_low_casual,jeans_male_brand_4_AW_high_casual,0.5665435745937961
jeans_male_brand_1_AW_low_casual,jeans_male_brand_2_AW_middle_casual,0.1481536189069423
t-shirt_male_brand_1_P_middle_sport,t-shirt_male_brand_4_P_middle_sport,0.8928039702233249
t-shirt_male_brand_1_P_middle_sport,t-shirt_male_brand_1_P_low_sport,0.8789081885856079
t-shirt_male_brand_1_P_middle_sport,t-shirt_male_brand_2_P_low_sport,0.8689826302729529
t-shirt_male_brand_1_P_middle_sport,t-shirt_male_brand_2_P_middle_sport,0.8369727047146404
t-shirt_male_brand_1_P_middle_sport,t-shirt_male_brand_4_P_low_sport,0.7399503722084366
boots_male_brand_4_SS_high_casual,boots_male_brand_1_SS_middle_casual,0.73912668773341
boots_male_brand_4_SS_high_casual,boots_male_brand_4_SS_middle_casual,0.5136167767882792
boots_male_brand_4_SS_high_casual,boots_male_brand_1_SS_low_casual,0.4978167193335248
boots_male_brand_4_SS_high_casual,boots_male_brand_3_SS_middle_casual,0.48603849468543536
boots_male_brand_4_SS_high_casual,boots_male_brand_2_SS_high_casual,0.0491525423728815
shoes_female_brand_2_AW_high_sport,shoes_female_brand_3_AW_high_sport,0.929416721280779
shoes_female_brand_2_AW_high_sport,shoes_female_brand_3_AW_middle_sport,0.6405673626064975
shoes_female_brand_2_AW_high_sport,shoes_female_brand_3_AW_low_sport,0.5419810879131167
shoes_female_brand_2_AW_high_sport,shoes_female_brand_2_AW_middle_sport,0.42925756015354366
shoes_female_brand_2_AW_high_sport,shoes_female_brand_1_AW_middle_sport,0.3291732983803015
jeans_male_brand_1_SS_middle_casual,jeans_male_brand_4_SS_middle_casual,0.9236658932714616
jeans_male_brand_1_SS_middle_casual,jeans_male_brand_4_SS_low_casual,0.722737819025522
jeans_male_brand_1_SS_middle_casual,jeans_male_brand_2_SS_middle_casual,0.345475638051044
jeans_male_brand_1_SS_middle_casual,jeans_male_brand_1_SS_high_casual,0.29582366589327147
jeans_male_brand_1_SS_middle_casual,jeans_male_brand_3_SS_low_casual,0.23549883990719275
jeans_female_brand_2_SS_middle_casual,jeans_female_brand_1_SS_high_casual,0.8247694886839899
jeans_female_brand_2_SS_middle_casual,jeans_female_brand_1_SS_middle_casual,0.7039396479463537
jeans_female_brand_2_SS_middle_casual,jeans_female_brand_2_SS_high_casual,0.6893964794635372
jeans_female_brand_2_SS_middle_casual,jeans_female_brand_4_SS_middle_casual,0.6228415758591785
jeans_female_brand_2_SS_middle_casual,jeans_female_brand_1_SS_low_casual,0.43059513830678964
top_female_brand_4_P_middle_casual,top_female_brand_1_P_middle_casual,1.0
top_female_brand_4_P_middle_casual,top_female_brand_4_P_high_casual,0.8584631360332297
top_female_brand_4_P_middle_casual,top_female_brand_1_P_low_casual,0.8127725856697818
top_female_brand_4_P_middle_casual,top_female_brand_2_P_middle_casual,0.6244029075804777
top_female_brand_4_P_middle_casual,top_female_brand_4_P_low_casual,0.48878504672897194
shoes_female_brand_4_SS_low_casual,shoes_female_brand_4_SS_middle_casual,0.8898255813953488
shoes_female_brand_4_SS_low_casual,shoes_female_brand_2_SS_low_casual,0.7159156976744184
shoes_female_brand_4_SS_low_casual,shoes_female_brand_4_SS_high_casual,0.41889534883720936
shoes_female_brand_4_SS_low_casual,shoes_female_brand_1_SS_middle_casual,0.3494912790697674
