image_name,object_id,class,bbox_x,bbox_y,bbox_width,bbox_height
frame_0.jpg,1,normal,123.74000000000001,224.7,175.2,135.79
frame_0.jpg,5,normal,176.3,97.67,146.74,122.65
frame_0.jpg,6,normal,226.67,5.47,148.93,98.77
frame_0.jpg,7,normal,382.17,97.67,148.93,124.84
frame_0.jpg,9,normal,333.99,218.13,148.92,129.22
frame_0.jpg,10,normal,246.38000000000002,367.06,199.3,173.04
frame_0.jpg,11,normal,108.40000000000002,540.08,232.16,179.59
frame_0.jpg,14,normal,1536.58,796.32,260.62,199.3
frame_0.jpg,15,normal,1505.7,601.4,186.16,183.97
frame_0.jpg,16,normal,1455.32,443.71000000000004,181.78,151.12
frame_0.jpg,17,normal,1418.09,294.78,164.26,142.36
frame_0.jpg,18,normal,1398.38,159.0,133.6,122.64000000000001
frame_0.jpg,19,normal,1356.77,31.97,127.03000000000002,111.7
frame_0.jpg,20,normal,1199.08,27.59,113.89000000000001,111.7
frame_0.jpg,21,normal,1214.41,169.95,127.03000000000002,129.21
frame_0.jpg,22,normal,1205.65,270.69,155.5,142.36
frame_0.jpg,23,normal,1229.74,404.29,159.88,142.36
frame_0.jpg,24,normal,1231.93,564.17,173.02,175.21
frame_0.jpg,25,normal,1240.69,780.99,192.73,186.16
frame_0.jpg,26,normal,980.07,785.37,179.59,192.73
frame_0.jpg,27,normal,1030.44,561.76,166.45,173.24
frame_0.jpg,28,normal,1019.49,424.0,142.36,148.93
frame_0.jpg,29,normal,1028.25,268.5,142.36,146.74
frame_0.jpg,30,normal,1026.06,143.67,129.22,131.4
frame_0.jpg,31,normal,1034.82,21.02,102.94,111.69
frame_0.jpg,32,normal,866.18,25.4,102.94,111.7
frame_0.jpg,33,normal,833.33,139.29,124.84,127.01999999999998
frame_0.jpg,34,anomaly,798.29,242.22,142.36,144.55
frame_0.jpg,35,normal,780.77,382.39,144.55,153.31
frame_0.jpg,36,normal,723.83,566.36,177.4,179.59
frame_0.jpg,37,normal,682.21,765.66,177.4,192.73
frame_0.jpg,38,normal,364.65,761.06,219.00999999999996,208.28
frame_0.jpg,39,normal,491.67,553.22,181.78,175.21
frame_0.jpg,40,normal,535.48,369.25,170.83,151.12
frame_0.jpg,41,normal,574.9,250.98,146.74,118.26999999999998
frame_0.jpg,42,normal,612.13,106.43,124.84,120.46
frame_0.jpg,43,normal,669.07,18.83,107.32,105.12
frame_0.jpg,44,normal,423.78,12.26,116.08,94.17
frame_20.jpg,1,normal,123.33333333333334,225.0,175.0,135.0
frame_20.jpg,5,normal,176.66666666666669,98.33333333333334,146.66666666666669,123.33333333333334
frame_20.jpg,6,normal,226.66666666666669,5.0,148.33333333333334,98.33333333333334
frame_20.jpg,7,normal,381.6666666666667,98.33333333333334,148.33333333333334,125.0
frame_20.jpg,9,normal,333.33333333333337,218.33333333333334,148.33333333333334,130.0
frame_20.jpg,10,normal,246.66666666666669,366.6666666666667,200.0,173.33333333333334
frame_20.jpg,11,normal,108.33333333333334,540.0,231.66666666666669,180.0
frame_20.jpg,14,normal,1536.6666666666667,796.6666666666667,260.0,200.0
frame_20.jpg,15,normal,1505.0,601.6666666666667,186.66666666666669,183.33333333333334
frame_20.jpg,16,normal,1455.0,443.33333333333337,181.66666666666669,151.66666666666669
frame_20.jpg,17,normal,1418.3333333333335,295.0,165.0,141.66666666666669
frame_20.jpg,18,normal,1398.3333333333335,158.33333333333334,133.33333333333334,123.33333333333334
frame_20.jpg,19,normal,1356.6666666666667,31.666666666666668,126.66666666666667,111.66666666666667
frame_20.jpg,20,normal,1198.3333333333335,28.333333333333336,113.33333333333334,111.66666666666667
frame_20.jpg,21,normal,1215.0,170.0,126.66666666666667,130.0
frame_20.jpg,22,normal,1205.0,270.0,155.0,141.66666666666669
frame_20.jpg,23,normal,1230.0,405.0,160.0,141.66666666666669
frame_20.jpg,24,normal,1231.6666666666667,565.0,173.33333333333334,175.0
frame_20.jpg,25,normal,1240.0,781.6666666666667,193.33333333333334,186.66666666666669
frame_20.jpg,26,normal,980.0,785.0,180.0,193.33333333333334
frame_20.jpg,27,normal,1030.0,561.6666666666667,166.66666666666669,173.33333333333334
frame_20.jpg,28,normal,1020.0,423.33333333333337,141.66666666666669,148.33333333333334
frame_20.jpg,29,normal,1028.3333333333335,268.33333333333337,141.66666666666669,146.66666666666669
frame_20.jpg,30,normal,1026.6666666666667,143.33333333333334,130.0,131.66666666666669
frame_20.jpg,31,normal,1035.0,21.666666666666668,103.33333333333334,111.66666666666667
frame_20.jpg,32,normal,866.6666666666667,25.0,103.33333333333334,111.66666666666667
frame_20.jpg,33,normal,833.3333333333334,140.0,125.0,126.66666666666667
frame_20.jpg,34,anomaly,798.3333333333334,241.66666666666669,141.66666666666669,145.0
frame_20.jpg,35,normal,780.0,381.6666666666667,145.0,153.33333333333334
frame_20.jpg,36,normal,723.3333333333334,566.6666666666667,176.66666666666669,180.0
frame_20.jpg,37,normal,681.6666666666667,765.0,176.66666666666669,193.33333333333334
frame_20.jpg,38,normal,365.0,761.6666666666667,218.33333333333334,208.33333333333334
frame_20.jpg,39,normal,491.6666666666667,553.3333333333334,181.66666666666669,175.0
frame_20.jpg,40,normal,535.0,370.0,170.0,151.66666666666669
frame_20.jpg,41,normal,575.0,251.66666666666669,146.66666666666669,118.33333333333334
frame_20.jpg,42,normal,611.6666666666667,106.66666666666667,125.0,120.0
frame_20.jpg,43,normal,668.3333333333334,18.333333333333336,106.66666666666667,105.0
frame_20.jpg,44,normal,423.33333333333337,11.666666666666668,116.66666666666667,95.0
frame_40.jpg,1,normal,125.0,223.33333333333334,175.0,135.0
frame_40.jpg,5,normal,176.66666666666669,98.33333333333334,146.66666666666669,123.33333333333334
frame_40.jpg,6,normal,228.33333333333334,5.0,148.33333333333334,98.33333333333334
frame_40.jpg,7,normal,383.33333333333337,100.0,148.33333333333334,125.0
frame_40.jpg,9,normal,335.0,218.33333333333334,148.33333333333334,130.0
frame_40.jpg,10,normal,246.66666666666669,366.6666666666667,200.0,173.33333333333334
frame_40.jpg,11,normal,110.0,540.0,231.66666666666669,180.0
frame_40.jpg,14,normal,1540.0,796.6666666666667,260.0,200.0
frame_40.jpg,15,normal,1508.3333333333335,601.6666666666667,186.66666666666669,183.33333333333334
frame_40.jpg,16,normal,1456.6666666666667,445.0,181.66666666666669,151.66666666666669
frame_40.jpg,17,normal,1420.0,296.6666666666667,165.0,141.66666666666669
